""
0,Business Analyst (BI)-Remote,-1,"Spartan Technologies, Inc. - Atlanta, GA
We are looking for a Sr. BA with strong experience on Microstrategy. this is a contract role that will go 6 months to start and likely be extended.
It is fully remote

Role
Assist with the following Consulting Services and various tasks related to the United Strategic Reporting Platform and eCR application rewrite:
Review with client business processes and general reporting requirements to design and develop reporting applications.",3.0,Spartan Technologies,"Atlanta Central City Post Offi, GA",1 to 50 Employees,2007,2007,IT Services,Information Technology,$5 to $10 million (USD)
1,Business Analyst,Employer Provided Salary:$57K - $70K,"General Summary


Essential Duties & Responsibilities
Minimum and Preferred Entrance Qualifications",2.9,City of Maricopa,"Maricopa, AZ",201 to 500 Employees,Government,Government,Government,Unknown / Non-Applicable,-1
2,Business Intelligence Analyst,-1,"The growing Channels & Services team focuses on developing and scaling new customer segments and services. Through our professional user program, Circle, we've succeeded in cultivating a large and diverse service provider network, with Squarespace Marketplace we have created a network of independent service providers who help do-it-yourself and do-it-for-me customers succeed online, and we've successfully launched our Enterprise product to support larger business initiatives.

Now, we are looking for a Business Intelligence Analyst to support the many facets of the Channels & Services team and collaborate with colleagues across the organization to drive data driven decisions and impact.

You will report to our Business Intelligence Lead based in our NYC office.

All Squarespace employees are working remotely at this time. We are closely monitoring the status of COVID-19 as we continue our work to build a return-to-work plan that ensures a safe return to our offices and provides flexibility for our employees.

RESPONSIBILITIES

Provide insights and own the reporting, data validation, trending, and presenting data in a format that allows the team and management to make strategic decisions

Partner across the business to support Channels & Services programs and growth goals, report on performance, determine measurement approaches, create insights and set strategy for new challenges

Build and expand existing dashboards, surface insights and democratize data access that empower teams to better understand and act on data

Perform exploratory analyses on large volumes of data; extract, package and present recommendations to inform marketing decisions

Identify problems and opportunities through data analysis and help support the teams in developing strategic solutions

QUALIFICATIONS

2+ years experience in an analytics or data-driven role

Experience with SQL, Python, BI reporting (i.e. Chart.io, Looker, Tableau) and databases (dimensional and relational), including data ingestion and transformation

Advanced Excel/google sheets skills including pivots, vlookups, ability to build complex formulas

Experience developing analytical frameworks, metrics to measure ongoing performance and understand performance drivers

Ability to transform data into a digestible and presentable story to technical and non-technical audiences

About Squarespace

Squarespace makes beautiful products to help people with creative ideas succeed. By blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world's most iconic businesses — to share their stories with the world. Squarespace's team of more than 1,300 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about .

Benefits & Perks

Health insurance with 100% premium covered for you and your dependent children

Flexible vacation & paid time off

Up to 20 weeks of paid family leave

Equity plan for all employees

Retirement benefits with employer match

Fertility and adoption benefits

Free lunch and snacks at all offices

Education reimbursement

Dog-friendly workplace in New York office

Commuter benefit in the form of reduced tax (Ireland) and pretax (US)

Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, national origin, gender, sex, gender identity or expression, sexual orientation, age, citizenship, marital or parental status, disability, veteran status, or other class protected by applicable law. We are proud to be an equal opportunity workplace.",3.9,Squarespace,"New York, NY",1001 to 5000 Employees,2003,2003,Internet,Information Technology,Unknown / Non-Applicable
3,Business Analyst III,Employer Provided Salary:$69K - $115K,"The Department of Public Works and Environmental Services, a nationally accredited agency committed to building and maintaining safe, reliable infrastructure that improves public health and provides a high quality of life for residents, is seeking an experienced and innovative business analyst to join the IT services team supporting the Capital Facilities division. An exciting initiative is underway to implement an innovative SaaS capital project management technology, providing an excellent opportunity for a qualified candidate to help modernize processes supporting both customers and employees.

As a member of the team, you will:
Serve as the lead business analyst point of contact to Capital Facilities division and have overall responsibility and accountability for development and delivery of high-quality IT solutions and services.",3.9,Fairfax County Government,"Jermantown, VA",5001 to 10000 Employees,Government,Government,Government,Unknown / Non-Applicable,-1
4,Senior Business Analyst II,Employer Provided Salary:$74K - $96K,"Your Job
As a Business Analyst, you'll work with various stakeholders at different levels of the organization to assess business needs, gather requirements, and help understand and improve work processes. You’ll need to provide diplomatic and timely communication in an agile-like work environment with iterative planning and delivery cycles. Specifically, you will:

Gain an in-depth knowledge of current processes and business practices through shadowing, interviewing key participants, and maintaining an understanding of the department(s) you support.
Analyze, draft, validate and finalize business and technical requirements.
Proactively examine the change impact of process adjustments on people, strategy, systems and general business operations to determine priority of needs.


We are builders, we are integrators. We create and optimize solutions for a rapidly growing business on a global scale. We work with distributed infrastructure, petabytes of data, and billions of transactions with no limitations on your creativity.",4.3,Indeed,Remote,10000+ Employees,2004,2004,Internet,Information Technology,$2 to $5 billion (USD)
5,Business Analyst,-1,"Role: Business Systems Analyst(Retail exp)
Duration: Contract to hire (or )Fulltime
Location : Eden Prairie MN/Remote
Position Overview:
Gathers and translates business and/or technical needs into relevant documentation for assigned projects. Establishes consensus among stakeholders and/or project team members in relationship to assigned deliverables. Provides leadership and a collaborative approach to integrating the stakeholder needs with the project activities and facilitates communication across the project and IT team involved in solution development related activities. Performs job functions in an independent manner. Helps establish standard processes and documentation standards for all projects. Capable of handling multiple projects simultaneously. May perform project management duties for smaller projects. Act as a mentor to with other team members, guiding them to execute job functions and related processes in alignment with Cub’s standards.",-1,Haramainsystems,United States,-1,-1,-1,-1,-1,-1
6,Business Analyst,-1,"Overview:
The American Arbitration Association (AAA), the leading provider of alternative dispute resolution services, seeks a Business Analyst to join its New York State Insurance Case Management Center (NYSI CMC). The Business Analyst will serve as a liaison between business operations, IS department, and outside vendors; recommends enhancements/additions for web-based technology services and updates to the NYSI CMC website; will supervise the testing efforts of the Customer Support team; and provides training to both external and internal parties.

The ideal candidate must temporarily have access to a private Wi-Fi network and telework using an AAA-issued laptop until our NYSI CMC in New York City reopens this summer.

Named as one of the 50 best nonprofits to work for by the Non-Profit Times, our employees enjoy rewarding careers in a fast-paced, results-driven environment. We offer a competitive compensation package, including incentives. Eligible employees also participate in a comprehensive benefits program that includes medical, dental, orthodontia, vision coverage, a student loan repayment program, a 403(b) retirement plan with substantial company match, discounted pet insurance, and generous paid-time-off benefits.
Responsibilities:

Qualifications:",3.4,American Arbitration Association,"New York, NY",501 to 1000 Employees,1926,1926,Legal,Accounting & Legal,$50 to $100 million (USD)
7,Senior Business Analyst,-1,"Required Skills :

Annnunities


Job Description :

???? Responsible for project analysis and requirements gathering.
???? Charts existing business processes in order to define current business activities for the development of procedures and models.
???? Prototypes new procedures for the purpose of enhancing business processes, operations, and information process flow.
???? Prepares and delivers reports, recommendations, or alternatives for improving processes in operating systems across the organization.
???? Researches various business processes for improving efficiency and quality at the departmental and organizational level.
???? Performs cost-benefit and return on investment (ROI) analyses for proposed changes to aid management in making implementation decisions.
???? Creates and deploys feedback mechanisms for end users. Analyzes results, makes recommendations for support process improvement, and implements changes.
???? Defines requirements and specifications for users with all related design ideas and completes documentation.
???? Researches, reviews, and analyzes the effectiveness and efficiency of existing requirements gathering processes and develops strategies for enhancing or further leveraging these.
???? Works with stakeholders and project team to prioritize collected requirements.
???? Identifies and establishes scope and parameters of process analysis in order to define impact, outcome criteria, and measure-taking actions.",4.1,Kaizen Technologies,"West Des Moines, IA",51 to 200 Employees,Company - Private,Company - Private,Information Technology,$10 to $25 million (USD),-1
8,Technical Business Analyst,Employer Provided Salary:$80K - $106K,"Your Job
Indeed.com is looking for a Technical Business Analyst who will impact people across the globe using his/her skills to develop BI systems, analyze large data sets, uncover business insights, solve various business problems, manage various operational processes and code software that will grow Indeed's business around the world.

Responsibilities:
Work across various teams and functions (Engineering, Product, International, Finance, Legal) to execute initiatives and tasks
Develop various software systems and dashboards for mining new business insights or to support new operational processes and to launch new products
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.3,Indeed,Remote,10000+ Employees,2004,2004,Internet,Information Technology,$2 to $5 billion (USD)
9,Business Analyst,Employer Provided Salary:$29 - $43 Per Hour,"Business Analyst
Location: Multiple
Duration: Long-term
W2 only.
Looking for Business Analyst with all level of consultants.
Job Types: Full-time, Contract
Pay: $30.00 - $45.00 per hour
Schedule:",-1,ST Global,"Cincinnati, OH",-1,-1,-1,-1,-1,-1
